,pre_estimators,estimator,score_train,score_test,execution_time
0,[VarianceThreshold()],"[RandomForestRegressor(criterion='mae', max_depth=9, min_samples_leaf=215,
                      n_estimators=820, n_jobs=-1)]",0.6099738337857523,0.5837127555534184,0.9067811965942383
1,[VarianceThreshold()],"[Lasso(alpha=27.519201829653845, fit_intercept=False)]",0.02649067617930634,0.03751759491357709,0.1259019374847412
2,"[SelectKBest(k=5), VarianceThreshold()]","[RandomForestRegressor(criterion='mae', max_depth=9, min_samples_leaf=215,
                      n_estimators=820, n_jobs=-1)]",0.5845609626393393,0.5707570687464554,1.1359527111053467
3,"[VarianceThreshold(), SelectKBest(k=5)]","[Lasso(alpha=27.519201829653845, fit_intercept=False)]",0.2235677180031591,0.2078242684192514,0.1129152774810791
4,[SelectKBest(k=5)],"[RandomForestRegressor(criterion='mae', max_depth=9, min_samples_leaf=215,
                      n_estimators=820, n_jobs=-1)]",-0.019995669346543288,-0.009684535992730892,0.6354634761810303
5,[SelectKBest(k=5)],"[Lasso(alpha=27.519201829653845, fit_intercept=False)]",-2.9454226976139717,-3.004797983390767,0.1148383617401123
6,[SelectKBest(k=5)],"[Lasso(alpha=27.519201829653845, fit_intercept=False)]",-0.02833870439745012,-0.05474886452563621,0.1364126205444336
7,"[SelectKBest(k=5), VarianceThreshold()]","[Lasso(alpha=27.519201829653845, fit_intercept=False)]",0.0,-0.00270737604703597,0.12111091613769531
8,[SelectKBest(k=5)],"[RandomForestRegressor(criterion='mae', max_depth=9, min_samples_leaf=215,
                      n_estimators=820, n_jobs=-1)]",-0.018584376736393127,-0.00864970543601129,0.9976253509521484
9,"[VarianceThreshold(), SelectKBest(k=5)]","[Lasso(alpha=27.519201829653845, fit_intercept=False)]",0.07018177258765268,0.04331989784941703,0.1794135570526123
10,[VarianceThreshold()],"[RandomForestRegressor(criterion='mae', max_depth=9, min_samples_leaf=215,
                      n_estimators=820, n_jobs=-1)]",-0.01937185603612024,-0.009224591549774175,0.5600693225860596
11,[VarianceThreshold()],"[Lasso(alpha=27.519201829653845, fit_intercept=False)]",0.08705119881070389,0.09314280629807248,0.10757660865783691
